"X","Y","theft","hour"
-122.39043366511,37.7501180223264,"FALSE",9
-122.404451998303,37.8008022705749,"TRUE",18
-122.412447373124,37.775633673443,"FALSE",18
-122.419694813697,37.7897774160756,"TRUE",4
-122.406725329529,37.7585641691709,"FALSE",16
-122.484732809797,37.7810436949235,"TRUE",23
-122.410761834615,37.7591351966531,"FALSE",22
-122.42025048261,37.7800745746105,"TRUE",15
-122.477976682169,37.7269346350353,"TRUE",18
-122.399833846531,37.7810432179334,"TRUE",13
-122.396039441019,37.7885368188001,"TRUE",4
-122.431015257276,37.7117445002313,"FALSE",2
-122.403404791479,37.775420706711,"TRUE",14
-122.392134062208,37.7916972492914,"TRUE",19
-122.397744427103,37.7299346936044,"FALSE",17
-122.38650210262,37.737007707134,"FALSE",14
-122.416230392543,37.7636337702985,"TRUE",4
-122.419020964349,37.782652976077,"TRUE",13
-122.465211771414,37.7790397453248,"FALSE",7
-122.403390364796,37.7802655777189,"TRUE",2
-122.416342977622,37.7824465135592,"TRUE",7
-122.365565425353,37.8096707013239,"FALSE",15
-122.421113134261,37.7716796786266,"TRUE",19
-122.40952693786,37.7934099594697,"FALSE",7
-122.399899436982,37.7846480308387,"TRUE",18
-122.407051670732,37.7446021016987,"FALSE",0
-122.404594140634,37.7300379995128,"TRUE",22
-122.430018655242,37.7668305229582,"FALSE",22
-122.407845374111,37.7850943210103,"FALSE",16
-122.416801125683,37.7490662929561,"FALSE",14
-122.411778295992,37.7839805592634,"FALSE",0
-122.418918390218,37.7859407304209,"TRUE",0
-122.503103317509,37.7354640316131,"TRUE",12
-122.403404791479,37.775420706711,"FALSE",0
-122.431046366089,37.7830295716044,"TRUE",14
-122.505117314946,37.7642126361601,"FALSE",23
-122.437306922591,37.7789392907473,"FALSE",14
-122.422963001902,37.789251361779,"FALSE",9
-122.413790972781,37.7838365565348,"FALSE",22
-122.43880804195,37.7236014483561,"FALSE",20
-122.473410842432,37.7804792523103,"FALSE",6
-122.413189430011,37.7712736913576,"TRUE",1
-122.446894227692,37.7737778917755,"FALSE",16
-122.400756491094,37.727208031298,"FALSE",11
-122.406064338866,37.7961528790147,"TRUE",15
-122.430436523474,37.7721069661669,"FALSE",19
-122.428773199378,37.7847222825051,"TRUE",17
-122.411141948101,37.7850736197499,"TRUE",13
-122.440923876434,37.7736351065468,"FALSE",15
-122.393711527235,37.7866070785127,"FALSE",0
-122.400268878381,37.7610683588912,"TRUE",21
-122.42007416053,37.7916521865064,"FALSE",17
-122.495497932048,37.7496603608218,"FALSE",11
-122.416120766348,37.7909083619361,"TRUE",15
-122.409849441655,37.7832755202567,"FALSE",7
-122.425012988928,37.7606879406742,"TRUE",19
-122.405402610955,37.7896302266935,"TRUE",18
-122.420691680792,37.7905770710537,"FALSE",1
-122.408231026261,37.787359494956,"FALSE",17
-122.414070883397,37.8016854989716,"FALSE",14
-122.388904406633,37.7266917170382,"TRUE",5
-122.413689986591,37.7347306985052,"FALSE",16
-122.425839480353,37.7784863750012,"FALSE",18
